"","id","zip","total","Year","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
"232","60601","60601",6,2015,"60601",9732,63,11,18,6,89136,1717,36.6
"233","60602","60602",10,2015,"60602",1463,62,2,22,12,66748,1487,32.4
"234","60603","60603",2,2015,"60603",882,61,4,30,5,73239,2001,26.1
"235","60604","60604",3,2015,"60604",415,80,0,16,3,135807,1614,54
"236","60605","60605",10,2015,"60605",24972,58,18,17,5,58338,1560,33.1
"237","60606","60606",4,2015,"60606",2789,75,2,13,9,83005,1855,30.9
"238","60607","60607",12,2015,"60607",25134,53,16,19,8,50222,1303,30.6
"239","60608","60608",21,2015,"60608",78794,15,16,10,58,16542,636,31.3
"240","60609","60609",28,2015,"60609",62773,17,28,4,49,14552,613,30.4
"241","60610","60610",16,2015,"60610",38740,68,17,7,6,71176,1203,34.3
"242","60611","60611",19,2015,"60611",29722,75,4,15,4,107019,1549,39.5
"243","60612","60612",28,2015,"60612",36052,20,61,4,14,21407,767,30.6
"244","60613","60613",8,2015,"60613",49536,76,6,6,10,55034,1066,31.5
"245","60614","60614",15,2015,"60614",68363,82,4,5,7,67585,1232,29.8
"246","60615","60615",7,2015,"60615",40745,25,60,7,5,32992,876,33.9
"247","60616","60616",10,2015,"60616",49491,24,24,39,11,28052,819,35.8
"248","60617","60617",43,2015,"60617",83435,7,54,0,37,18242,648,36.1
"249","60618","60618",18,2015,"60618",97413,44,2,4,47,31862,873,32.9
"250","60619","60619",33,2015,"60619",64922,1,97,0,1,19987,701,39.4
"251","60620","60620",46,2015,"60620",73253,1,97,0,1,16347,721,38.2
"252","60621","60621",54,2015,"60621",33608,1,96,0,1,11893,676,31.6
"253","60622","60622",20,2015,"60622",54272,59,8,3,28,43393,988,31.1
"254","60623","60623",44,2015,"60623",85158,2,34,0,63,11463,611,27.8
"255","60624","60624",51,2015,"60624",39283,2,95,0,2,11731,690,27.9
"256","60625","60625",17,2015,"60625",78966,42,4,14,38,29124,855,33.4
"257","60626","60626",14,2015,"60626",51061,42,25,7,23,24054,788,33
"258","60628","60628",53,2015,"60628",71710,2,94,0,3,17025,748,37.5
"259","60629","60629",28,2015,"60629",113833,9,23,1,67,14299,743,29.2
"260","60630","60630",14,2015,"60630",57886,59,1,11,27,26705,866,38.1
"261","60631","60631",5,2015,"60631",28899,84,1,2,12,35878,1022,43.7
"262","60632","60632",26,2015,"60632",90845,10,2,5,83,13596,672,29.3
"263","60633","60633",1,2015,"60633",13474,32,25,1,42,20668,749,36.6
"264","60634","60634",15,2015,"60634",72718,59,1,4,35,24269,849,38.9
"265","60636","60636",39,2015,"60636",39918,1,94,0,3,11897,686,32.2
"266","60637","60637",37,2015,"60637",48270,16,77,4,2,19746,753,30.7
"267","60638","60638",5,2015,"60638",56033,54,3,1,41,25850,802,37.2
"268","60639","60639",32,2015,"60639",91934,7,15,0,77,14310,771,30.3
"269","60640","60640",17,2015,"60640",64365,53,18,13,13,35414,802,37.2
"270","60641","60641",19,2015,"60641",70730,38,2,4,54,23168,779,35.3
"271","60642","60642",9,2015,"60642",18312,59,11,5,21,45788,1035,31.7
"272","60643","60643",19,2015,"60643",51836,23,72,0,3,28249,779,42.1
"273","60644","60644",47,2015,"60644",47631,2,94,0,3,13381,715,32.5
"274","60645","60645",7,2015,"60645",46913,44,16,15,22,25500,893,35
"275","60646","60646",1,2015,"60646",28314,76,1,10,12,40071,761,42.7
"276","60647","60647",26,2015,"60647",87146,38,6,3,52,30368,862,31.6
"277","60649","60649",37,2015,"60649",45444,2,94,0,2,20347,723,37.9
"278","60651","60651",47,2015,"60651",61150,3,63,0,33,14599,730,32.7
"279","60652","60652",7,2015,"60652",42517,16,48,0,35,23889,946,34.9
"280","60653","60653",19,2015,"60653",31086,4,91,1,2,22333,608,35.6
"281","60654","60654",12,2015,"60654",15885,73,5,10,9,101469,1772,32.8
"282","60655","60655",5,2015,"60655",28173,86,7,1,6,35689,867,37.6
"283","60656","60656",2,2015,"60656",27468,77,1,8,12,29771,958,41.1
"284","60657","60657",16,2015,"60657",68088,81,3,7,7,63820,1138,30.5
"285","60659","60659",14,2015,"60659",39657,40,5,32,20,21675,888,35.1
"286","60660","60660",5,2015,"60660",42060,51,15,13,18,30160,794,36.2
"287","60661","60661",7,2015,"60661",7436,64,6,22,6,76827,1555,31
"288","60707","60707",3,2015,"60707",42712,58,7,3,29,26405,810,39.1
"289","60827","60827",4,2015,"60827",28547,3,92,0,4,16567,720,31
"290","60601","60601",8,2013,"60601",9732,63,11,18,6,89136,1717,36.6
"291","60602","60602",4,2013,"60602",1463,62,2,22,12,66748,1487,32.4
"292","60603","60603",2,2013,"60603",882,61,4,30,5,73239,2001,26.1
"293","60604","60604",1,2013,"60604",415,80,0,16,3,135807,1614,54
"294","60605","60605",6,2013,"60605",24972,58,18,17,5,58338,1560,33.1
"295","60606","60606",3,2013,"60606",2789,75,2,13,9,83005,1855,30.9
"296","60607","60607",11,2013,"60607",25134,53,16,19,8,50222,1303,30.6
"297","60608","60608",20,2013,"60608",78794,15,16,10,58,16542,636,31.3
"298","60609","60609",30,2013,"60609",62773,17,28,4,49,14552,613,30.4
"299","60610","60610",7,2013,"60610",38740,68,17,7,6,71176,1203,34.3
"300","60611","60611",13,2013,"60611",29722,75,4,15,4,107019,1549,39.5
"301","60612","60612",25,2013,"60612",36052,20,61,4,14,21407,767,30.6
"302","60613","60613",10,2013,"60613",49536,76,6,6,10,55034,1066,31.5
"303","60614","60614",8,2013,"60614",68363,82,4,5,7,67585,1232,29.8
"304","60615","60615",25,2013,"60615",40745,25,60,7,5,32992,876,33.9
"305","60616","60616",14,2013,"60616",49491,24,24,39,11,28052,819,35.8
"306","60617","60617",37,2013,"60617",83435,7,54,0,37,18242,648,36.1
"307","60618","60618",25,2013,"60618",97413,44,2,4,47,31862,873,32.9
"308","60619","60619",46,2013,"60619",64922,1,97,0,1,19987,701,39.4
"309","60620","60620",65,2013,"60620",73253,1,97,0,1,16347,721,38.2
"310","60621","60621",52,2013,"60621",33608,1,96,0,1,11893,676,31.6
"311","60622","60622",23,2013,"60622",54272,59,8,3,28,43393,988,31.1
"312","60623","60623",54,2013,"60623",85158,2,34,0,63,11463,611,27.8
"313","60624","60624",63,2013,"60624",39283,2,95,0,2,11731,690,27.9
"314","60625","60625",18,2013,"60625",78966,42,4,14,38,29124,855,33.4
"315","60626","60626",20,2013,"60626",51061,42,25,7,23,24054,788,33
"316","60628","60628",56,2013,"60628",71710,2,94,0,3,17025,748,37.5
"317","60629","60629",42,2013,"60629",113833,9,23,1,67,14299,743,29.2
"318","60630","60630",12,2013,"60630",57886,59,1,11,27,26705,866,38.1
"319","60631","60631",5,2013,"60631",28899,84,1,2,12,35878,1022,43.7
"320","60632","60632",26,2013,"60632",90845,10,2,5,83,13596,672,29.3
"321","60633","60633",3,2013,"60633",13474,32,25,1,42,20668,749,36.6
"322","60634","60634",19,2013,"60634",72718,59,1,4,35,24269,849,38.9
"323","60636","60636",30,2013,"60636",39918,1,94,0,3,11897,686,32.2
"324","60637","60637",47,2013,"60637",48270,16,77,4,2,19746,753,30.7
"325","60638","60638",15,2013,"60638",56033,54,3,1,41,25850,802,37.2
"326","60639","60639",31,2013,"60639",91934,7,15,0,77,14310,771,30.3
"327","60640","60640",26,2013,"60640",64365,53,18,13,13,35414,802,37.2
"328","60641","60641",23,2013,"60641",70730,38,2,4,54,23168,779,35.3
"329","60642","60642",9,2013,"60642",18312,59,11,5,21,45788,1035,31.7
"330","60643","60643",23,2013,"60643",51836,23,72,0,3,28249,779,42.1
"331","60644","60644",51,2013,"60644",47631,2,94,0,3,13381,715,32.5
"332","60645","60645",15,2013,"60645",46913,44,16,15,22,25500,893,35
"333","60646","60646",5,2013,"60646",28314,76,1,10,12,40071,761,42.7
"334","60647","60647",42,2013,"60647",87146,38,6,3,52,30368,862,31.6
"335","60649","60649",46,2013,"60649",45444,2,94,0,2,20347,723,37.9
"336","60651","60651",42,2013,"60651",61150,3,63,0,33,14599,730,32.7
"337","60652","60652",13,2013,"60652",42517,16,48,0,35,23889,946,34.9
"338","60653","60653",19,2013,"60653",31086,4,91,1,2,22333,608,35.6
"339","60654","60654",14,2013,"60654",15885,73,5,10,9,101469,1772,32.8
"340","60655","60655",1,2013,"60655",28173,86,7,1,6,35689,867,37.6
"341","60656","60656",1,2013,"60656",27468,77,1,8,12,29771,958,41.1
"342","60657","60657",13,2013,"60657",68088,81,3,7,7,63820,1138,30.5
"343","60659","60659",8,2013,"60659",39657,40,5,32,20,21675,888,35.1
"344","60660","60660",17,2013,"60660",42060,51,15,13,18,30160,794,36.2
"345","60661","60661",5,2013,"60661",7436,64,6,22,6,76827,1555,31
"346","60707","60707",4,2013,"60707",42712,58,7,3,29,26405,810,39.1
"347","60827","60827",5,2013,"60827",28547,3,92,0,4,16567,720,31
"348","60601","60601",11,2017,"60601",9732,63,11,18,6,89136,1717,36.6
"349","60602","60602",9,2017,"60602",1463,62,2,22,12,66748,1487,32.4
"350","60603","60603",4,2017,"60603",882,61,4,30,5,73239,2001,26.1
"351","60604","60604",3,2017,"60604",415,80,0,16,3,135807,1614,54
"352","60605","60605",8,2017,"60605",24972,58,18,17,5,58338,1560,33.1
"353","60606","60606",2,2017,"60606",2789,75,2,13,9,83005,1855,30.9
"354","60607","60607",9,2017,"60607",25134,53,16,19,8,50222,1303,30.6
"355","60608","60608",16,2017,"60608",78794,15,16,10,58,16542,636,31.3
"356","60609","60609",24,2017,"60609",62773,17,28,4,49,14552,613,30.4
"357","60610","60610",13,2017,"60610",38740,68,17,7,6,71176,1203,34.3
"358","60611","60611",15,2017,"60611",29722,75,4,15,4,107019,1549,39.5
"359","60612","60612",27,2017,"60612",36052,20,61,4,14,21407,767,30.6
"360","60613","60613",11,2017,"60613",49536,76,6,6,10,55034,1066,31.5
"361","60614","60614",23,2017,"60614",68363,82,4,5,7,67585,1232,29.8
"362","60615","60615",18,2017,"60615",40745,25,60,7,5,32992,876,33.9
"363","60616","60616",13,2017,"60616",49491,24,24,39,11,28052,819,35.8
"364","60617","60617",26,2017,"60617",83435,7,54,0,37,18242,648,36.1
"365","60618","60618",21,2017,"60618",97413,44,2,4,47,31862,873,32.9
"366","60619","60619",39,2017,"60619",64922,1,97,0,1,19987,701,39.4
"367","60620","60620",45,2017,"60620",73253,1,97,0,1,16347,721,38.2
"368","60621","60621",20,2017,"60621",33608,1,96,0,1,11893,676,31.6
"369","60622","60622",11,2017,"60622",54272,59,8,3,28,43393,988,31.1
"370","60623","60623",40,2017,"60623",85158,2,34,0,63,11463,611,27.8
"371","60624","60624",36,2017,"60624",39283,2,95,0,2,11731,690,27.9
"372","60625","60625",13,2017,"60625",78966,42,4,14,38,29124,855,33.4
"373","60626","60626",13,2017,"60626",51061,42,25,7,23,24054,788,33
"374","60628","60628",37,2017,"60628",71710,2,94,0,3,17025,748,37.5
"375","60629","60629",39,2017,"60629",113833,9,23,1,67,14299,743,29.2
"376","60630","60630",14,2017,"60630",57886,59,1,11,27,26705,866,38.1
"377","60631","60631",2,2017,"60631",28899,84,1,2,12,35878,1022,43.7
"378","60632","60632",12,2017,"60632",90845,10,2,5,83,13596,672,29.3
"379","60633","60633",2,2017,"60633",13474,32,25,1,42,20668,749,36.6
"380","60634","60634",3,2017,"60634",72718,59,1,4,35,24269,849,38.9
"381","60636","60636",20,2017,"60636",39918,1,94,0,3,11897,686,32.2
"382","60637","60637",26,2017,"60637",48270,16,77,4,2,19746,753,30.7
"383","60638","60638",6,2017,"60638",56033,54,3,1,41,25850,802,37.2
"384","60639","60639",21,2017,"60639",91934,7,15,0,77,14310,771,30.3
"385","60640","60640",18,2017,"60640",64365,53,18,13,13,35414,802,37.2
"386","60641","60641",12,2017,"60641",70730,38,2,4,54,23168,779,35.3
"387","60642","60642",4,2017,"60642",18312,59,11,5,21,45788,1035,31.7
"388","60643","60643",21,2017,"60643",51836,23,72,0,3,28249,779,42.1
"389","60644","60644",37,2017,"60644",47631,2,94,0,3,13381,715,32.5
"390","60645","60645",11,2017,"60645",46913,44,16,15,22,25500,893,35
"391","60646","60646",4,2017,"60646",28314,76,1,10,12,40071,761,42.7
"392","60647","60647",23,2017,"60647",87146,38,6,3,52,30368,862,31.6
"393","60649","60649",31,2017,"60649",45444,2,94,0,2,20347,723,37.9
"394","60651","60651",30,2017,"60651",61150,3,63,0,33,14599,730,32.7
"395","60652","60652",7,2017,"60652",42517,16,48,0,35,23889,946,34.9
"396","60653","60653",10,2017,"60653",31086,4,91,1,2,22333,608,35.6
"397","60654","60654",10,2017,"60654",15885,73,5,10,9,101469,1772,32.8
"398","60655","60655",7,2017,"60655",28173,86,7,1,6,35689,867,37.6
"399","60656","60656",3,2017,"60656",27468,77,1,8,12,29771,958,41.1
"400","60657","60657",15,2017,"60657",68088,81,3,7,7,63820,1138,30.5
"401","60659","60659",9,2017,"60659",39657,40,5,32,20,21675,888,35.1
"402","60660","60660",7,2017,"60660",42060,51,15,13,18,30160,794,36.2
"403","60661","60661",5,2017,"60661",7436,64,6,22,6,76827,1555,31
"404","60707","60707",1,2017,"60707",42712,58,7,3,29,26405,810,39.1
"405","60827","60827",2,2017,"60827",28547,3,92,0,4,16567,720,31
"406","60601","60601",5,2012,"60601",9732,63,11,18,6,89136,1717,36.6
"407","60602","60602",1,2012,"60602",1463,62,2,22,12,66748,1487,32.4
"408","60603","60603",3,2012,"60603",882,61,4,30,5,73239,2001,26.1
"409","60604","60604",3,2012,"60604",415,80,0,16,3,135807,1614,54
"410","60605","60605",13,2012,"60605",24972,58,18,17,5,58338,1560,33.1
"411","60606","60606",4,2012,"60606",2789,75,2,13,9,83005,1855,30.9
"412","60607","60607",15,2012,"60607",25134,53,16,19,8,50222,1303,30.6
"413","60608","60608",16,2012,"60608",78794,15,16,10,58,16542,636,31.3
"414","60609","60609",47,2012,"60609",62773,17,28,4,49,14552,613,30.4
"415","60610","60610",12,2012,"60610",38740,68,17,7,6,71176,1203,34.3
"416","60611","60611",23,2012,"60611",29722,75,4,15,4,107019,1549,39.5
"417","60612","60612",28,2012,"60612",36052,20,61,4,14,21407,767,30.6
"418","60613","60613",12,2012,"60613",49536,76,6,6,10,55034,1066,31.5
"419","60614","60614",27,2012,"60614",68363,82,4,5,7,67585,1232,29.8
"420","60615","60615",14,2012,"60615",40745,25,60,7,5,32992,876,33.9
"421","60616","60616",20,2012,"60616",49491,24,24,39,11,28052,819,35.8
"422","60617","60617",51,2012,"60617",83435,7,54,0,37,18242,648,36.1
"423","60618","60618",29,2012,"60618",97413,44,2,4,47,31862,873,32.9
"424","60619","60619",42,2012,"60619",64922,1,97,0,1,19987,701,39.4
"425","60620","60620",71,2012,"60620",73253,1,97,0,1,16347,721,38.2
"426","60621","60621",50,2012,"60621",33608,1,96,0,1,11893,676,31.6
"427","60622","60622",18,2012,"60622",54272,59,8,3,28,43393,988,31.1
"428","60623","60623",60,2012,"60623",85158,2,34,0,63,11463,611,27.8
"429","60624","60624",47,2012,"60624",39283,2,95,0,2,11731,690,27.9
"430","60625","60625",23,2012,"60625",78966,42,4,14,38,29124,855,33.4
"431","60626","60626",19,2012,"60626",51061,42,25,7,23,24054,788,33
"432","60628","60628",65,2012,"60628",71710,2,94,0,3,17025,748,37.5
"433","60629","60629",52,2012,"60629",113833,9,23,1,67,14299,743,29.2
"434","60630","60630",17,2012,"60630",57886,59,1,11,27,26705,866,38.1
"435","60631","60631",3,2012,"60631",28899,84,1,2,12,35878,1022,43.7
"436","60632","60632",24,2012,"60632",90845,10,2,5,83,13596,672,29.3
"437","60633","60633",2,2012,"60633",13474,32,25,1,42,20668,749,36.6
"438","60634","60634",9,2012,"60634",72718,59,1,4,35,24269,849,38.9
"439","60636","60636",55,2012,"60636",39918,1,94,0,3,11897,686,32.2
"440","60637","60637",43,2012,"60637",48270,16,77,4,2,19746,753,30.7
"441","60638","60638",14,2012,"60638",56033,54,3,1,41,25850,802,37.2
"442","60639","60639",31,2012,"60639",91934,7,15,0,77,14310,771,30.3
"443","60640","60640",19,2012,"60640",64365,53,18,13,13,35414,802,37.2
"444","60641","60641",34,2012,"60641",70730,38,2,4,54,23168,779,35.3
"445","60642","60642",5,2012,"60642",18312,59,11,5,21,45788,1035,31.7
"446","60643","60643",25,2012,"60643",51836,23,72,0,3,28249,779,42.1
"447","60644","60644",53,2012,"60644",47631,2,94,0,3,13381,715,32.5
"448","60645","60645",10,2012,"60645",46913,44,16,15,22,25500,893,35
"449","60646","60646",5,2012,"60646",28314,76,1,10,12,40071,761,42.7
"450","60647","60647",30,2012,"60647",87146,38,6,3,52,30368,862,31.6
"451","60649","60649",33,2012,"60649",45444,2,94,0,2,20347,723,37.9
"452","60651","60651",53,2012,"60651",61150,3,63,0,33,14599,730,32.7
"453","60652","60652",9,2012,"60652",42517,16,48,0,35,23889,946,34.9
"454","60653","60653",20,2012,"60653",31086,4,91,1,2,22333,608,35.6
"455","60654","60654",17,2012,"60654",15885,73,5,10,9,101469,1772,32.8
"456","60655","60655",6,2012,"60655",28173,86,7,1,6,35689,867,37.6
"457","60656","60656",3,2012,"60656",27468,77,1,8,12,29771,958,41.1
"458","60657","60657",20,2012,"60657",68088,81,3,7,7,63820,1138,30.5
"459","60659","60659",7,2012,"60659",39657,40,5,32,20,21675,888,35.1
"460","60660","60660",12,2012,"60660",42060,51,15,13,18,30160,794,36.2
"461","60661","60661",3,2012,"60661",7436,64,6,22,6,76827,1555,31
"462","60707","60707",4,2012,"60707",42712,58,7,3,29,26405,810,39.1
"463","60827","60827",4,2012,"60827",28547,3,92,0,4,16567,720,31
