"","id","zip","total","Year","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age","time","racegr","income"
"1",1,"60601",5,2011,"60601",9732,63,11,18,6,89136,1717,36.6,2,2,1.91024231168164
"2",2,"60602",7,2011,"60602",1463,62,2,22,12,66748,1487,32.4,2,2,1.08994090319555
"3",3,"60603",4,2011,"60603",882,61,4,30,5,73239,2001,26.1,2,2,1.32777261851104
"4",4,"60604",6,2011,"60604",415,80,0,16,3,135807,1614,54,2,2,3.62027835936138
"5",5,"60605",6,2011,"60605",24972,58,18,17,5,58338,1560,33.1,2,3,0.78179659171762
"6",6,"60606",5,2011,"60606",2789,75,2,13,9,83005,1855,30.9,2,2,1.68560107818922
"7",7,"60607",14,2011,"60607",25134,53,16,19,8,50222,1303,30.6,2,3,0.484424507061864
"8",8,"60608",18,2011,"60608",78794,15,16,10,58,16542,636,31.3,2,5,-0.749618347941323
"9",9,"60609",36,2011,"60609",62773,17,28,4,49,14552,613,30.4,2,5,-0.822532400241095
"10",10,"60610",10,2011,"60610",38740,68,17,7,6,71176,1203,34.3,2,2,1.25218382961937
"11",11,"60611",15,2011,"60611",29722,75,4,15,4,107019,1549,39.5,2,2,2.56547949624286
"12",12,"60612",24,2011,"60612",36052,20,61,4,14,21407,767,30.6,2,5,-0.571363642193386
"13",13,"60613",9,2011,"60613",49536,76,6,6,10,55034,1066,31.5,2,2,0.660737280763626
"14",14,"60614",27,2011,"60614",68363,82,4,5,7,67585,1232,29.8,2,1,1.1206087734342
"15",15,"60615",12,2011,"60615",40745,25,60,7,5,32992,876,33.9,2,4,-0.146886609081393
"16",16,"60616",18,2011,"60616",49491,24,24,39,11,28052,819,35.8,2,4,-0.327889331875804
"17",17,"60617",34,2011,"60617",83435,7,54,0,37,18242,648,36.1,2,5,-0.687329961554582
"18",18,"60618",20,2011,"60618",97413,44,2,4,47,31862,873,32.9,2,3,-0.188290065914932
"19",19,"60619",30,2011,"60619",64922,1,97,0,1,19987,701,39.4,2,5,-0.623392764939958
"20",20,"60620",26,2011,"60620",73253,1,97,0,1,16347,721,38.2,2,5,-0.756763192262155
"21",21,"60621",20,2011,"60621",33608,1,96,0,1,11893,676,31.6,2,5,-0.919958764595415
"22",22,"60622",13,2011,"60622",54272,59,8,3,28,43393,988,31.1,2,3,0.234208394923599
"23",23,"60623",36,2011,"60623",85158,2,34,0,63,11463,611,27.8,2,5,-0.935714062328531
"24",24,"60624",43,2011,"60624",39283,2,95,0,2,11731,690,27.9,2,5,-0.925894481415798
"25",25,"60625",11,2011,"60625",78966,42,4,14,38,29124,855,33.4,2,3,-0.288611008224871
"26",26,"60626",7,2011,"60626",51061,42,25,7,23,24054,788,33,2,3,-0.474376960566503
"27",27,"60628",38,2011,"60628",71710,2,94,0,3,17025,748,37.5,2,5,-0.731921118162031
"28",28,"60629",36,2011,"60629",113833,9,23,1,67,14299,743,29.2,2,5,-0.831802377744534
"29",29,"60630",9,2011,"60630",57886,59,1,11,27,26705,866,38.1,2,3,-0.377243718030474
"30",30,"60631",2,2011,"60631",28899,84,1,2,12,35878,1022,43.7,2,1,-0.0411429131330798
"31",31,"60632",21,2011,"60632",90845,10,2,5,83,13596,672,29.3,2,5,-0.857560457526815
"32",32,"60633",5,2011,"60633",13474,32,25,1,42,20668,749,36.6,2,4,-0.598440770157975
"33",33,"60634",17,2011,"60634",72718,59,1,4,35,24269,849,38.9,2,3,-0.466499311699944
"34",34,"60636",37,2011,"60636",39918,1,94,0,3,11897,686,32.2,2,5,-0.919812203686269
"35",35,"60637",25,2011,"60637",48270,16,77,4,2,19746,753,30.7,2,5,-0.63222305971596
"36",36,"60638",6,2011,"60638",56033,54,3,1,41,25850,802,37.2,2,3,-0.408571112360276
"37",37,"60639",27,2011,"60639",91934,7,15,0,77,14310,771,30.3,2,5,-0.831399335244384
"38",38,"60640",12,2011,"60640",64365,53,18,13,13,35414,802,37.2,2,3,-0.0581439785939313
"39",39,"60641",13,2011,"60641",70730,38,2,4,54,23168,779,35.3,2,4,-0.50684020194218
"40",40,"60642",9,2011,"60642",18312,59,11,5,21,45788,1035,31.7,2,3,0.321961739274331
"41",41,"60643",20,2011,"60643",51836,23,72,0,3,28249,779,42.1,2,4,-0.320671207100399
"42",42,"60644",36,2011,"60644",47631,2,94,0,3,13381,715,32.5,2,5,-0.865438106393374
"43",43,"60645",4,2011,"60645",46913,44,16,15,22,25500,893,35,2,3,-0.421395191910487
"44",44,"60647",19,2011,"60647",87146,38,6,3,52,30368,862,31.6,2,4,-0.243030565480691
"45",45,"60649",30,2011,"60649",45444,2,94,0,2,20347,723,37.9,2,5,-0.610202283116883
"46",46,"60651",49,2011,"60651",61150,3,63,0,33,14599,730,32.7,2,5,-0.820810309558638
"47",47,"60652",8,2011,"60652",42517,16,48,0,35,23889,946,34.9,2,5,-0.480422598068745
"48",48,"60653",18,2011,"60653",31086,4,91,1,2,22333,608,35.6,2,5,-0.537434791726256
"49",49,"60654",10,2011,"60654",15885,73,5,10,9,101469,1772,32.8,2,2,2.3621262348038
"50",50,"60655",6,2011,"60655",28173,86,7,1,6,35689,867,37.6,2,1,-0.0480679160901939
"51",51,"60656",4,2011,"60656",27468,77,1,8,12,29771,958,41.1,2,2,-0.264904781170623
"52",52,"60657",10,2011,"60657",68088,81,3,7,7,63820,1138,30.5,2,1,0.982658317701215
"53",53,"60659",6,2011,"60659",39657,40,5,32,20,21675,888,35.1,2,4,-0.561544061280653
"54",54,"60660",6,2011,"60660",42060,51,15,13,18,30160,794,36.2,2,3,-0.250651732756246
"55",55,"60661",1,2011,"60661",7436,64,6,22,6,76827,1555,31,2,2,1.45923775401435
"56",56,"60707",6,2011,"60707",42712,58,7,3,29,26405,810,39.1,2,3,-0.388235786216369
"57",57,"60827",1,2011,"60827",28547,3,92,0,4,16567,720,31,2,5,-0.748702342259165
"58",1,"60601",5,2010,"60601",9732,63,11,18,6,89136,1717,36.6,1,2,1.91024231168164
"59",2,"60602",2,2010,"60602",1463,62,2,22,12,66748,1487,32.4,1,2,1.08994090319555
"60",4,"60604",1,2010,"60604",415,80,0,16,3,135807,1614,54,1,2,3.62027835936138
"61",5,"60605",10,2010,"60605",24972,58,18,17,5,58338,1560,33.1,1,3,0.78179659171762
"62",6,"60606",1,2010,"60606",2789,75,2,13,9,83005,1855,30.9,1,2,1.68560107818922
"63",7,"60607",12,2010,"60607",25134,53,16,19,8,50222,1303,30.6,1,3,0.484424507061864
"64",8,"60608",21,2010,"60608",78794,15,16,10,58,16542,636,31.3,1,5,-0.749618347941323
"65",9,"60609",25,2010,"60609",62773,17,28,4,49,14552,613,30.4,1,5,-0.822532400241095
"66",10,"60610",15,2010,"60610",38740,68,17,7,6,71176,1203,34.3,1,2,1.25218382961937
"67",11,"60611",17,2010,"60611",29722,75,4,15,4,107019,1549,39.5,1,2,2.56547949624286
"68",12,"60612",17,2010,"60612",36052,20,61,4,14,21407,767,30.6,1,5,-0.571363642193386
"69",13,"60613",5,2010,"60613",49536,76,6,6,10,55034,1066,31.5,1,2,0.660737280763626
"70",14,"60614",26,2010,"60614",68363,82,4,5,7,67585,1232,29.8,1,1,1.1206087734342
"71",15,"60615",14,2010,"60615",40745,25,60,7,5,32992,876,33.9,1,4,-0.146886609081393
"72",16,"60616",11,2010,"60616",49491,24,24,39,11,28052,819,35.8,1,4,-0.327889331875804
"73",17,"60617",24,2010,"60617",83435,7,54,0,37,18242,648,36.1,1,5,-0.687329961554582
"74",18,"60618",26,2010,"60618",97413,44,2,4,47,31862,873,32.9,1,3,-0.188290065914932
"75",19,"60619",29,2010,"60619",64922,1,97,0,1,19987,701,39.4,1,5,-0.623392764939958
"76",20,"60620",47,2010,"60620",73253,1,97,0,1,16347,721,38.2,1,5,-0.756763192262155
"77",21,"60621",25,2010,"60621",33608,1,96,0,1,11893,676,31.6,1,5,-0.919958764595415
"78",22,"60622",21,2010,"60622",54272,59,8,3,28,43393,988,31.1,1,3,0.234208394923599
"79",23,"60623",36,2010,"60623",85158,2,34,0,63,11463,611,27.8,1,5,-0.935714062328531
"80",24,"60624",38,2010,"60624",39283,2,95,0,2,11731,690,27.9,1,5,-0.925894481415798
"81",25,"60625",9,2010,"60625",78966,42,4,14,38,29124,855,33.4,1,3,-0.288611008224871
"82",26,"60626",12,2010,"60626",51061,42,25,7,23,24054,788,33,1,3,-0.474376960566503
"83",27,"60628",39,2010,"60628",71710,2,94,0,3,17025,748,37.5,1,5,-0.731921118162031
"84",28,"60629",26,2010,"60629",113833,9,23,1,67,14299,743,29.2,1,5,-0.831802377744534
"85",29,"60630",7,2010,"60630",57886,59,1,11,27,26705,866,38.1,1,3,-0.377243718030474
"86",30,"60631",1,2010,"60631",28899,84,1,2,12,35878,1022,43.7,1,1,-0.0411429131330798
"87",31,"60632",21,2010,"60632",90845,10,2,5,83,13596,672,29.3,1,5,-0.857560457526815
"88",32,"60633",1,2010,"60633",13474,32,25,1,42,20668,749,36.6,1,4,-0.598440770157975
"89",33,"60634",11,2010,"60634",72718,59,1,4,35,24269,849,38.9,1,3,-0.466499311699944
"90",34,"60636",33,2010,"60636",39918,1,94,0,3,11897,686,32.2,1,5,-0.919812203686269
"91",35,"60637",25,2010,"60637",48270,16,77,4,2,19746,753,30.7,1,5,-0.63222305971596
"92",36,"60638",6,2010,"60638",56033,54,3,1,41,25850,802,37.2,1,3,-0.408571112360276
"93",37,"60639",27,2010,"60639",91934,7,15,0,77,14310,771,30.3,1,5,-0.831399335244384
"94",38,"60640",21,2010,"60640",64365,53,18,13,13,35414,802,37.2,1,3,-0.0581439785939313
"95",39,"60641",12,2010,"60641",70730,38,2,4,54,23168,779,35.3,1,4,-0.50684020194218
"96",40,"60642",12,2010,"60642",18312,59,11,5,21,45788,1035,31.7,1,3,0.321961739274331
"97",41,"60643",23,2010,"60643",51836,23,72,0,3,28249,779,42.1,1,4,-0.320671207100399
"98",42,"60644",39,2010,"60644",47631,2,94,0,3,13381,715,32.5,1,5,-0.865438106393374
"99",43,"60645",11,2010,"60645",46913,44,16,15,22,25500,893,35,1,3,-0.421395191910487
"100",58,"60646",3,2010,"60646",28314,76,1,10,12,40071,761,42.7,1,2,0.112489559878451
"101",44,"60647",25,2010,"60647",87146,38,6,3,52,30368,862,31.6,1,4,-0.243030565480691
"102",45,"60649",22,2010,"60649",45444,2,94,0,2,20347,723,37.9,1,5,-0.610202283116883
"103",46,"60651",27,2010,"60651",61150,3,63,0,33,14599,730,32.7,1,5,-0.820810309558638
"104",47,"60652",4,2010,"60652",42517,16,48,0,35,23889,946,34.9,1,5,-0.480422598068745
"105",48,"60653",23,2010,"60653",31086,4,91,1,2,22333,608,35.6,1,5,-0.537434791726256
"106",49,"60654",9,2010,"60654",15885,73,5,10,9,101469,1772,32.8,1,2,2.3621262348038
"107",50,"60655",4,2010,"60655",28173,86,7,1,6,35689,867,37.6,1,1,-0.0480679160901939
"108",51,"60656",4,2010,"60656",27468,77,1,8,12,29771,958,41.1,1,2,-0.264904781170623
"109",52,"60657",17,2010,"60657",68088,81,3,7,7,63820,1138,30.5,1,1,0.982658317701215
"110",53,"60659",7,2010,"60659",39657,40,5,32,20,21675,888,35.1,1,4,-0.561544061280653
"111",54,"60660",9,2010,"60660",42060,51,15,13,18,30160,794,36.2,1,3,-0.250651732756246
"112",55,"60661",2,2010,"60661",7436,64,6,22,6,76827,1555,31,1,2,1.45923775401435
"113",56,"60707",3,2010,"60707",42712,58,7,3,29,26405,810,39.1,1,3,-0.388235786216369
"114",57,"60827",3,2010,"60827",28547,3,92,0,4,16567,720,31,1,5,-0.748702342259165
"115",1,"60601",7,2016,"60601",9732,63,11,18,6,89136,1717,36.6,7,2,1.91024231168164
"116",2,"60602",7,2016,"60602",1463,62,2,22,12,66748,1487,32.4,7,2,1.08994090319555
"117",3,"60603",8,2016,"60603",882,61,4,30,5,73239,2001,26.1,7,2,1.32777261851104
"118",4,"60604",1,2016,"60604",415,80,0,16,3,135807,1614,54,7,2,3.62027835936138
"119",5,"60605",7,2016,"60605",24972,58,18,17,5,58338,1560,33.1,7,3,0.78179659171762
"120",6,"60606",2,2016,"60606",2789,75,2,13,9,83005,1855,30.9,7,2,1.68560107818922
"121",7,"60607",10,2016,"60607",25134,53,16,19,8,50222,1303,30.6,7,3,0.484424507061864
"122",8,"60608",20,2016,"60608",78794,15,16,10,58,16542,636,31.3,7,5,-0.749618347941323
"123",9,"60609",19,2016,"60609",62773,17,28,4,49,14552,613,30.4,7,5,-0.822532400241095
"124",10,"60610",7,2016,"60610",38740,68,17,7,6,71176,1203,34.3,7,2,1.25218382961937
"125",11,"60611",11,2016,"60611",29722,75,4,15,4,107019,1549,39.5,7,2,2.56547949624286
"126",12,"60612",13,2016,"60612",36052,20,61,4,14,21407,767,30.6,7,5,-0.571363642193386
"127",13,"60613",7,2016,"60613",49536,76,6,6,10,55034,1066,31.5,7,2,0.660737280763626
"128",14,"60614",15,2016,"60614",68363,82,4,5,7,67585,1232,29.8,7,1,1.1206087734342
"129",15,"60615",5,2016,"60615",40745,25,60,7,5,32992,876,33.9,7,4,-0.146886609081393
"130",16,"60616",6,2016,"60616",49491,24,24,39,11,28052,819,35.8,7,4,-0.327889331875804
"131",17,"60617",17,2016,"60617",83435,7,54,0,37,18242,648,36.1,7,5,-0.687329961554582
"132",18,"60618",19,2016,"60618",97413,44,2,4,47,31862,873,32.9,7,3,-0.188290065914932
"133",19,"60619",28,2016,"60619",64922,1,97,0,1,19987,701,39.4,7,5,-0.623392764939958
"134",20,"60620",36,2016,"60620",73253,1,97,0,1,16347,721,38.2,7,5,-0.756763192262155
"135",21,"60621",20,2016,"60621",33608,1,96,0,1,11893,676,31.6,7,5,-0.919958764595415
"136",22,"60622",15,2016,"60622",54272,59,8,3,28,43393,988,31.1,7,3,0.234208394923599
"137",23,"60623",12,2016,"60623",85158,2,34,0,63,11463,611,27.8,7,5,-0.935714062328531
"138",24,"60624",23,2016,"60624",39283,2,95,0,2,11731,690,27.9,7,5,-0.925894481415798
"139",25,"60625",8,2016,"60625",78966,42,4,14,38,29124,855,33.4,7,3,-0.288611008224871
"140",26,"60626",5,2016,"60626",51061,42,25,7,23,24054,788,33,7,3,-0.474376960566503
"141",27,"60628",35,2016,"60628",71710,2,94,0,3,17025,748,37.5,7,5,-0.731921118162031
"142",28,"60629",28,2016,"60629",113833,9,23,1,67,14299,743,29.2,7,5,-0.831802377744534
"143",29,"60630",7,2016,"60630",57886,59,1,11,27,26705,866,38.1,7,3,-0.377243718030474
"144",30,"60631",1,2016,"60631",28899,84,1,2,12,35878,1022,43.7,7,1,-0.0411429131330798
"145",31,"60632",16,2016,"60632",90845,10,2,5,83,13596,672,29.3,7,5,-0.857560457526815
"146",33,"60634",10,2016,"60634",72718,59,1,4,35,24269,849,38.9,7,3,-0.466499311699944
"147",34,"60636",14,2016,"60636",39918,1,94,0,3,11897,686,32.2,7,5,-0.919812203686269
"148",35,"60637",11,2016,"60637",48270,16,77,4,2,19746,753,30.7,7,5,-0.63222305971596
"149",36,"60638",4,2016,"60638",56033,54,3,1,41,25850,802,37.2,7,3,-0.408571112360276
"150",37,"60639",17,2016,"60639",91934,7,15,0,77,14310,771,30.3,7,5,-0.831399335244384
"151",38,"60640",15,2016,"60640",64365,53,18,13,13,35414,802,37.2,7,3,-0.0581439785939313
"152",39,"60641",12,2016,"60641",70730,38,2,4,54,23168,779,35.3,7,4,-0.50684020194218
"153",40,"60642",11,2016,"60642",18312,59,11,5,21,45788,1035,31.7,7,3,0.321961739274331
"154",41,"60643",9,2016,"60643",51836,23,72,0,3,28249,779,42.1,7,4,-0.320671207100399
"155",42,"60644",26,2016,"60644",47631,2,94,0,3,13381,715,32.5,7,5,-0.865438106393374
"156",43,"60645",4,2016,"60645",46913,44,16,15,22,25500,893,35,7,3,-0.421395191910487
"157",58,"60646",1,2016,"60646",28314,76,1,10,12,40071,761,42.7,7,2,0.112489559878451
"158",44,"60647",16,2016,"60647",87146,38,6,3,52,30368,862,31.6,7,4,-0.243030565480691
"159",45,"60649",15,2016,"60649",45444,2,94,0,2,20347,723,37.9,7,5,-0.610202283116883
"160",46,"60651",24,2016,"60651",61150,3,63,0,33,14599,730,32.7,7,5,-0.820810309558638
"161",47,"60652",5,2016,"60652",42517,16,48,0,35,23889,946,34.9,7,5,-0.480422598068745
"162",48,"60653",12,2016,"60653",31086,4,91,1,2,22333,608,35.6,7,5,-0.537434791726256
"163",49,"60654",11,2016,"60654",15885,73,5,10,9,101469,1772,32.8,7,2,2.3621262348038
"164",50,"60655",1,2016,"60655",28173,86,7,1,6,35689,867,37.6,7,1,-0.0480679160901939
"165",51,"60656",3,2016,"60656",27468,77,1,8,12,29771,958,41.1,7,2,-0.264904781170623
"166",52,"60657",11,2016,"60657",68088,81,3,7,7,63820,1138,30.5,7,1,0.982658317701215
"167",53,"60659",4,2016,"60659",39657,40,5,32,20,21675,888,35.1,7,4,-0.561544061280653
"168",54,"60660",8,2016,"60660",42060,51,15,13,18,30160,794,36.2,7,3,-0.250651732756246
"169",55,"60661",7,2016,"60661",7436,64,6,22,6,76827,1555,31,7,2,1.45923775401435
"170",56,"60707",4,2016,"60707",42712,58,7,3,29,26405,810,39.1,7,3,-0.388235786216369
"171",1,"60601",6,2013,"60601",9732,63,11,18,6,89136,1717,36.6,4,2,1.91024231168164
"172",2,"60602",3,2013,"60602",1463,62,2,22,12,66748,1487,32.4,4,2,1.08994090319555
"173",3,"60603",2,2013,"60603",882,61,4,30,5,73239,2001,26.1,4,2,1.32777261851104
"174",4,"60604",1,2013,"60604",415,80,0,16,3,135807,1614,54,4,2,3.62027835936138
"175",5,"60605",5,2013,"60605",24972,58,18,17,5,58338,1560,33.1,4,3,0.78179659171762
"176",6,"60606",3,2013,"60606",2789,75,2,13,9,83005,1855,30.9,4,2,1.68560107818922
"177",7,"60607",8,2013,"60607",25134,53,16,19,8,50222,1303,30.6,4,3,0.484424507061864
"178",8,"60608",10,2013,"60608",78794,15,16,10,58,16542,636,31.3,4,5,-0.749618347941323
"179",9,"60609",19,2013,"60609",62773,17,28,4,49,14552,613,30.4,4,5,-0.822532400241095
"180",10,"60610",5,2013,"60610",38740,68,17,7,6,71176,1203,34.3,4,2,1.25218382961937
"181",11,"60611",10,2013,"60611",29722,75,4,15,4,107019,1549,39.5,4,2,2.56547949624286
"182",12,"60612",19,2013,"60612",36052,20,61,4,14,21407,767,30.6,4,5,-0.571363642193386
"183",13,"60613",8,2013,"60613",49536,76,6,6,10,55034,1066,31.5,4,2,0.660737280763626
"184",14,"60614",7,2013,"60614",68363,82,4,5,7,67585,1232,29.8,4,1,1.1206087734342
"185",15,"60615",14,2013,"60615",40745,25,60,7,5,32992,876,33.9,4,4,-0.146886609081393
"186",16,"60616",11,2013,"60616",49491,24,24,39,11,28052,819,35.8,4,4,-0.327889331875804
"187",17,"60617",21,2013,"60617",83435,7,54,0,37,18242,648,36.1,4,5,-0.687329961554582
"188",18,"60618",19,2013,"60618",97413,44,2,4,47,31862,873,32.9,4,3,-0.188290065914932
"189",19,"60619",27,2013,"60619",64922,1,97,0,1,19987,701,39.4,4,5,-0.623392764939958
"190",20,"60620",41,2013,"60620",73253,1,97,0,1,16347,721,38.2,4,5,-0.756763192262155
"191",21,"60621",28,2013,"60621",33608,1,96,0,1,11893,676,31.6,4,5,-0.919958764595415
"192",22,"60622",14,2013,"60622",54272,59,8,3,28,43393,988,31.1,4,3,0.234208394923599
"193",23,"60623",36,2013,"60623",85158,2,34,0,63,11463,611,27.8,4,5,-0.935714062328531
"194",24,"60624",40,2013,"60624",39283,2,95,0,2,11731,690,27.9,4,5,-0.925894481415798
"195",25,"60625",12,2013,"60625",78966,42,4,14,38,29124,855,33.4,4,3,-0.288611008224871
"196",26,"60626",12,2013,"60626",51061,42,25,7,23,24054,788,33,4,3,-0.474376960566503
"197",27,"60628",29,2013,"60628",71710,2,94,0,3,17025,748,37.5,4,5,-0.731921118162031
"198",28,"60629",25,2013,"60629",113833,9,23,1,67,14299,743,29.2,4,5,-0.831802377744534
"199",29,"60630",6,2013,"60630",57886,59,1,11,27,26705,866,38.1,4,3,-0.377243718030474
"200",30,"60631",5,2013,"60631",28899,84,1,2,12,35878,1022,43.7,4,1,-0.0411429131330798
"201",31,"60632",20,2013,"60632",90845,10,2,5,83,13596,672,29.3,4,5,-0.857560457526815
"202",33,"60634",11,2013,"60634",72718,59,1,4,35,24269,849,38.9,4,3,-0.466499311699944
"203",34,"60636",15,2013,"60636",39918,1,94,0,3,11897,686,32.2,4,5,-0.919812203686269
"204",35,"60637",29,2013,"60637",48270,16,77,4,2,19746,753,30.7,4,5,-0.63222305971596
"205",36,"60638",7,2013,"60638",56033,54,3,1,41,25850,802,37.2,4,3,-0.408571112360276
"206",37,"60639",21,2013,"60639",91934,7,15,0,77,14310,771,30.3,4,5,-0.831399335244384
"207",38,"60640",23,2013,"60640",64365,53,18,13,13,35414,802,37.2,4,3,-0.0581439785939313
"208",39,"60641",17,2013,"60641",70730,38,2,4,54,23168,779,35.3,4,4,-0.50684020194218
"209",40,"60642",6,2013,"60642",18312,59,11,5,21,45788,1035,31.7,4,3,0.321961739274331
"210",41,"60643",17,2013,"60643",51836,23,72,0,3,28249,779,42.1,4,4,-0.320671207100399
"211",42,"60644",31,2013,"60644",47631,2,94,0,3,13381,715,32.5,4,5,-0.865438106393374
"212",43,"60645",10,2013,"60645",46913,44,16,15,22,25500,893,35,4,3,-0.421395191910487
"213",58,"60646",4,2013,"60646",28314,76,1,10,12,40071,761,42.7,4,2,0.112489559878451
"214",44,"60647",24,2013,"60647",87146,38,6,3,52,30368,862,31.6,4,4,-0.243030565480691
"215",45,"60649",28,2013,"60649",45444,2,94,0,2,20347,723,37.9,4,5,-0.610202283116883
"216",46,"60651",32,2013,"60651",61150,3,63,0,33,14599,730,32.7,4,5,-0.820810309558638
"217",47,"60652",6,2013,"60652",42517,16,48,0,35,23889,946,34.9,4,5,-0.480422598068745
"218",48,"60653",9,2013,"60653",31086,4,91,1,2,22333,608,35.6,4,5,-0.537434791726256
"219",49,"60654",10,2013,"60654",15885,73,5,10,9,101469,1772,32.8,4,2,2.3621262348038
"220",52,"60657",12,2013,"60657",68088,81,3,7,7,63820,1138,30.5,4,1,0.982658317701215
"221",53,"60659",8,2013,"60659",39657,40,5,32,20,21675,888,35.1,4,4,-0.561544061280653
"222",54,"60660",11,2013,"60660",42060,51,15,13,18,30160,794,36.2,4,3,-0.250651732756246
"223",55,"60661",3,2013,"60661",7436,64,6,22,6,76827,1555,31,4,2,1.45923775401435
"224",56,"60707",2,2013,"60707",42712,58,7,3,29,26405,810,39.1,4,3,-0.388235786216369
